,id,Nombre,Tipo,Desde,Hasta,geometry
0,1.0,Inicio,Borde,,,"POLYGON ((1004821.88690502 1014050.634934122, 1004906.637866234 1014018.69697693, 1004890.26042177 1013977.524577089, 1004804.797069483 1014012.301912103, 1004821.88690502 1014050.634934122))"
1,2.0,Fin,Borde,,,"POLYGON ((1004920.187214448 1013736.177130645, 1004898.825001802 1013686.486203295, 1004826.180900159 1013715.585521189, 1004847.543284773 1013763.146875474, 1004847.543284773 1013763.146875474, 1004847.543284773 1013763.146875474, 1004847.543284773 1013763.146875474, 1004847.543284773 1013763.146875474, 1004847.543284773 1013763.146875474, 1004847.543284773 1013763.146875474, 1004847.543284773 1013763.146875474, 1004876.031053801 1013753.210754606, 1004920.187214448 1013736.177130645))"
